id,name_en,name_kr,trigger,category,param_type,param_value,secondary_param_type,secondary_param_value,target,description_en,description_kr
108,Forewarn,예지몽,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"When it enters a battle, the Pokemon can tell one of the moves an opposing Pokemon has.",등장했을 때 상대가 지닌 기술을 하나만 간파한다.
109,Unaware,천진,PASSIVE,MOVE_MODIFIER,IGNORE_TARGET_STAT_MODS,,,,SELF,"When attacking, the Pokemon ignores the target's stat changes.",상대의 능력 변화를 무시하고 공격할 수 있다.
110,Tinted Lens,색안경,PASSIVE,DAMAGE_MODIFIER,NOT_VERY_EFFECTIVE,2,,,SELF,"The Pokemon can use ""not very effective"" moves to deal regular damage.",효과가 별로인 기술을 통상의 위력으로 쓸 수 있다.
111,Filter,필터,PASSIVE,DAMAGE_MODIFIER,SUPER_EFFECTIVE_TAKEN,0.75,,,SELF,Reduces the power of supereffective attacks that hit the Pokemon.,자신이 받는 효과가 굉장한 공격의 위력을 약하게 만든다.
112,Slow Start,슬로스타트,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"For five turns, the Pokemon's Attack and Speed stats are halved.",5턴 동안 공격과 스피드가 절반이 된다.
113,Scrappy,배짱,PASSIVE,TYPE_EFFECTIVENESS,NORMAL_FIGHT_VS_GHOST,,,,SELF,The Pokemon can hit Ghost-type Pokemon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.,노말타입과 격투타입 기술을 고스트타입에게 맞힐 수 있다. 위협을 당해도 동요하지 않는다.
114,Storm Drain,마중물,ON_MOVE_TARGETING,REDIRECT_BOOST,WATER,,,,SELF,"The Pokemon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.",물타입의 기술을 자신에게 끌어모아 데미지를 받지 않고 특수공격이 올라간다.
115,Ice Body,아이스바디,ON_WEATHER,HEAL,SNOW,0.0625,,,SELF,The Pokemon gradually regains HP in snow.,날씨가 눈일 때 HP를 조금씩 회복한다.
116,Solid Rock,하드록,PASSIVE,DAMAGE_MODIFIER,SUPER_EFFECTIVE_TAKEN,0.75,,,SELF,Reduces the power of supereffective attacks that hit the Pokemon.,자신이 받는 효과가 굉장한 공격의 위력을 약하게 만든다.
117,Snow Warning,눈퍼뜨리기,ON_SWITCH_IN,WEATHER_CHANGE,SNOW,5,,,FIELD,The Pokemon makes it snow when it enters a battle.,등장했을 때 날씨를 눈으로 만든다.
118,Honey Gather,꿀모으기,ON_END_BATTLE,SPECIAL_LOGIC,,,,,SELF,The Pokemon may gather Honey after a battle.,배틀이 끝났을 때 달콤한꿀을 주울 때가 있다.
119,Frisk,통찰,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"When it enters a battle, the Pokemon can check an opposing Pokemon's held item.",등장했을 때 상대의 지닌 물건을 통찰할 수 있다.
120,Reckless,이판사판,PASSIVE,DAMAGE_MODIFIER,RECOIL_MOVES,1.2,,,SELF,Powers up moves that have recoil damage.,반동 데미지를 받는 기술의 위력이 올라간다.
121,Multitype,멀티타입,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Changes the Pokemon's type to match the plate it holds.,지니고 있는 플레이트나 Z크리스탈 타입에 따라 자신의 타입이 바뀐다. 이 특성은 무시할 수 없다.
122,Flower Gift,플라워기프트,ON_WEATHER,SPECIAL_LOGIC,,,,,SELF,Boosts the Attack and Sp. Def stats of the Pokemon and its allies in harsh sunlight.,날씨가 맑을 때 자신과 같은 편의 공격과 특수방어의 능력이 올라간다.
123,Bad Dreams,나이트메어,ON_END_TURN,SPECIAL_LOGIC,,,,,SELF,Damages opposing Pokemon that are asleep.,잠듦 상태의 상대에게 데미지를 준다.
124,Pickpocket,나쁜손버릇,ON_HIT_CONTACT,SPECIAL_LOGIC,,,,,SELF,The Pokemon steals the held item from attackers that make direct contact with it.,자신에게 접촉한 상대의 도구를 훔친다.
125,Sheer Force,우격다짐,PASSIVE,SPECIAL_LOGIC,,,,,SELF,"Removes any additional effects from the Pokemon's moves, but increases the moves' power.",기술의 추가 효과가 없어지지만 그만큼 높은 위력으로 기술을 사용할 수 있다.
126,Contrary,심술꾸러기,PASSIVE,STAT_MODIFIER,REVERSE_STAT_CHANGES,,,,SELF,Reverses any stat changes affecting the Pokemon so that attempts to boost its stats instead lower them ? and attempts to lower its stats will boost them.,능력의 변화가 역전해서 올라갈 때 떨어지고 떨어질 때 올라간다.
127,Unnerve,긴장감,ON_SWITCH_IN,ITEM_ACTION,BERRY_LOCK,,,,ALL_FOES,Unnerves opposing Pokemon and makes them unable to eat Berries.,상대를 긴장시켜 나무열매를 먹지 못하게 한다.
128,Defiant,오기,ON_STAT_LOWERED,STAT_CHANGE,ATTACK,2,,,SELF,"If the Pokemon has any stat lowered by an opposing Pokemon, its Attack stat will be boosted sharply.",상대에 의해 능력이 떨어지면 공격이 크게 올라간다.
129,Defeatist,무기력,ON_LOW_HP,SPECIAL_LOGIC,,,,,SELF,Halves the Pokemon's Attack and Sp. Atk stats when its HP drops to half or less.,HP가 절반이 되면 무기력해져서 공격과 특수공격이 반감된다.
130,Cursed Body,저주받은바디,ON_HIT_BY_MOVE,SPECIAL_LOGIC,,,,,SELF,May disable a move that has dealt damage to the Pokemon.,공격을 받으면 상대의 기술을 사슬묶기 상태로 만들 때가 있다.
131,Healer,힐링시프트,ON_END_TURN,SPECIAL_LOGIC,,,,,SELF,Sometimes cures the status conditions of the Pokemon's allies.,회복 기술을 먼저 사용할 수 있다.
132,Friend Guard,프렌드가드,PASSIVE,DAMAGE_MODIFIER,ALLY_DAMAGE,0.75,,,ALLY,Reduces damage dealt to allies.,같은 편의 데미지를 줄일 수 있다.
133,Weak Armor,깨어진갑옷,ON_HIT_PHYSICAL,STAT_CHANGE,DEFENSE,-1,SPEED,2,SELF,"The Pokemon's Defense stat is lowered when it takes damage from physical moves, but its Speed stat is sharply boosted.",물리 기술로 데미지를 받으면 방어가 떨어지고 스피드가 크게 올라간다.
134,Heavy Metal,헤비메탈,PASSIVE,WEIGHT_MODIFIER,WEIGHT,2,,,SELF,Doubles the Pokemon's weight.,자신의 무게가 2배가 된다.
135,Light Metal,라이트메탈,PASSIVE,WEIGHT_MODIFIER,WEIGHT,0.5,,,SELF,Halves the Pokemon's weight.,자신의 무게가 절반이 된다.
136,Multiscale,멀티스케일,PASSIVE,DAMAGE_MODIFIER,DAMAGE_TAKEN_FULL_HP,0.5,,,SELF,Reduces the amount of damage the Pokemon takes while its HP is full.,HP가 꽉 찼을 때 받는 데미지가 줄어든다.
137,Toxic Boost,독폭주,PASSIVE,STAT_MODIFIER_STATUS,ATTACK,1.5,,,SELF,Powers up physical moves when the Pokemon is poisoned.,독 상태가 되었을 때 물리 기술의 위력이 올라간다.
138,Flare Boost,열폭주,PASSIVE,STAT_MODIFIER_STATUS,SPECIAL_ATTACK,1.5,,,SELF,Powers up special moves when the Pokemon is burned.,화상 상태가 되었을 때 특수 기술의 위력이 올라간다.
139,Harvest,수확,ON_END_TURN,SPECIAL_LOGIC,,,,,SELF,May create another Berry after one is used.,사용한 나무열매를 몇 번이고 만들어 낸다.
140,Telepathy,텔레파시,PASSIVE,MOVE_IMMUNITY,ALLY_ATTACK,,,,SELF,The Pokemon anticipates and dodges the attacks of its allies.,같은 편의 공격을 간파하여 기술을 회피한다.
141,Moody,변덕쟁이,ON_END_TURN,SPECIAL_LOGIC,,,,,SELF,"Every turn, one of the Pokemon's stats will be boosted sharply, but another stat will be lowered.",매 턴 능력 중 하나가 크게 오르고 하나가 떨어진다.
142,Overcoat,방진,PASSIVE,EFFECT_IMMUNITY,EFFECT_LIST,"POWDER,WEATHER_DAMAGE",,,SELF,The Pokemon takes no damage from sandstorms. It is also protected from the effects of powders and spores.,모래바람에 데미지를 받지 않는다. 가루나 포자의 영향도 받지 않는다.
143,Poison Touch,독수,ON_CONTACT,PRIMARY_STATUS,POISON,0.3,,,TARGET,May poison a target when the Pokemon makes contact.,접촉하기만 해도 상대를 독 상태로 만들 때가 있다.
144,Regenerator,재생력,ON_SWITCH_OUT,HEAL,MAX_HP_PERCENT,0.33,,,SELF,The Pokemon has a little of its HP restored when withdrawn from battle.,지닌 포켓몬으로 돌아오면 HP를 조금 회복한다.
145,Big Pecks,부풀린가슴,PASSIVE,STAT_MODIFIER_IMMUNITY,DEFENSE_LOWER,,,,SELF,Prevents the Pokemon from having its Defense stat lowered.,방어를 떨어뜨리는 효과를 받지 않는다.
146,Sand Rush,모래헤치기,ON_WEATHER,STAT_MODIFIER,SPEED,2,,,SELF,Boosts the Pokemon's Speed stat in a sandstorm.,날씨가 모래바람일 때 스피드가 올라간다.
147,Wonder Skin,미라클스킨,PASSIVE,ACCURACY_MODIFIER,STATUS_MOVES_ON_SELF,0.5,,,SELF,Makes status moves more likely to miss the Pokemon.,변화 기술을 받기 어려운 몸으로 되어 있다.
148,Analytic,애널라이즈,ON_MOVE_LAST,DAMAGE_MODIFIER,ANY,1.3,,,SELF,Boosts the power of the Pokemon's move if it is the last to act that turn.,제일 마지막에 기술을 쓰면 기술의 위력이 올라간다.
149,Illusion,일루전,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,The Pokemon fools opponents by entering battle disguised as the last Pokemon in its Trainer's party.,지닌 포켓몬 중 제일 뒤에 있는 포켓몬으로 둔갑하여 나와서 상대를 속인다.
150,Imposter,괴짜,ON_SWITCH_IN,TRANSFORM,,,,,FOE,The Pokemon transforms itself into the Pokemon it's facing.,눈앞의 포켓몬으로 변신해 버린다.
151,Infiltrator,틈새포착,PASSIVE,MOVE_MODIFIER,IGNORE_SCREENS,,,,SELF,"The Pokemon's moves are unaffected by the target's barriers, substitutes, and the like.",상대의 벽이나 대타출동을 뚫고 공격할 수 있다.
152,Mummy,미라,ON_CONTACT,SPECIAL_LOGIC,,,,,ATTACKER,Contact with the Pokemon changes the attacker's Ability to Mummy.,상대가 접촉하면 상대를 미라로 만들어 버린다.
153,Moxie,자기과신,ON_KO,STAT_CHANGE,ATTACK,1,,,SELF,"When the Pokemon knocks out a target, it shows moxie, which boosts its Attack stat.",상대를 쓰러뜨리면 자신감이 붙어서 공격이 올라간다.
154,Justified,정의의마음,ON_HIT_BY_TYPE,STAT_CHANGE,ATTACK,1,,,SELF,"When the Pokemon is hit by a Dark-type attack, its Attack stat is boosted by its sense of justice.",악타입 공격을 받으면 정의감으로 공격이 올라간다.
155,Rattled,주눅,ON_HIT_BY_TYPE,STAT_CHANGE,SPEED,1,,,SELF,"The Pokemon gets scared when hit by a Dark-, Ghost-, or Bug-type attack or if intimidated, which boosts its Speed stat.","악, 고스트, 벌레타입 기술로 공격받거나 위협을 받으면 주눅이 들어 스피드가 올라간다."
156,Magic Bounce,매직미러,PASSIVE,SPECIAL_LOGIC,,,,,SELF,The Pokemon reflects status moves instead of getting hit by them.,상대가 쓴 변화 기술을 반사해 그대로 되돌려줄 수 있다.
157,Sap Sipper,초식,ON_HIT_BY_TYPE,SPECIAL_LOGIC,GRASS,,,,SELF,"The Pokemon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted.",풀타입 기술로 공격받으면 데미지를 받지 않고 공격이 올라간다.
158,Prankster,짓궂은마음,PASSIVE,PRIORITY_MODIFIER,STATUS_MOVES,1,,,SELF,Gives priority to the Pokemon's status moves.,변화 기술을 먼저 쓸 수 있다.
159,Sand Force,모래의힘,ON_WEATHER,DAMAGE_MODIFIER,TYPE_LIST,"ROCK,GROUND,STEEL",MULTIPLIER,1.3,SELF,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.","날씨가 모래바람일 때 바위타입과 땅타입, 강철타입 기술의 위력이 올라간다."
160,Iron Barbs,철가시,ON_CONTACT,DAMAGE,MAX_HP_PERCENT,0.125,,,ATTACKER,The Pokemon's iron barbs damage the attacker if it makes direct contact.,자신에게 접촉한 상대에게 철가시로 데미지를 준다.
161,Zen Mode,달마모드,ON_LOW_HP,SPECIAL_LOGIC,,,,,SELF,Changes the Pokemon's shape when its HP drops to half or less.,HP가 절반 이하가 되면 모습이 변화한다.
162,Victory Star,승리의별,PASSIVE,ACCURACY_MODIFIER,SELF_AND_ALLY,1.1,,,FIELD,Boosts the accuracy of the Pokemon and its allies.,자신과 같은 편의 명중률이 올라간다.
163,Turboblaze,터보블레이즈,PASSIVE,MOVE_MODIFIER,IGNORE_ABILITY,,,,SELF,The Pokemon's moves are unimpeded by the Ability of the target.,상대 특성에 방해받지 않고 상대에게 기술을 쓸 수 있다.
164,Teravolt,테라볼티지,PASSIVE,MOVE_MODIFIER,IGNORE_ABILITY,,,,SELF,The Pokemon's moves are unimpeded by the Ability of the target.,상대 특성에 방해받지 않고 상대에게 기술을 쓸 수 있다.
165,Aroma Veil,아로마베일,PASSIVE,MOVE_IMMUNITY,MENTAL_ATTACKS,,,,ALLY,Protects the Pokemon and its allies from effects that prevent the use of moves.,자신과 같은 편으로 향하는 멘탈 공격을 막을 수 있다.
166,Flower Veil,플라워베일,PASSIVE,SPECIAL_LOGIC,,,,,ALLY,Ally Grass-type Pokemon are protected from status conditions and the lowering of their stats.,같은 편의 풀타입 포켓몬은 능력이 떨어지지 않고 상태 이상도 되지 않는다.
167,Cheek Pouch,볼주머니,ON_BERRY_EAT,HEAL,MAX_HP_PERCENT,0.33,,,SELF,"The Pokemon's HP is restored when it eats any Berry, in addition to the Berry's usual effect.",나무열매를 먹으면 추가로 HP를 회복한다.
168,Protean,변환자재,ON_MOVE_USE,SPECIAL_LOGIC,,,,,SELF,Changes the Pokemon's type to the type of the move it's about to use. This works only once each time the Pokemon enters battle.,배틀에 나올 때마다 단 한 번 자신이 사용한 기술과 같은 타입으로 변화한다.
169,Fur Coat,퍼코트,PASSIVE,DAMAGE_MODIFIER,PHYSICAL_TAKEN,0.5,,,SELF,Halves the damage taken from physical moves.,상대로부터 받는 물리 기술의 데미지가 절반이 된다.
170,Magician,매지션,ON_MOVE_HIT,SPECIAL_LOGIC,,,,,SELF,The Pokemon steals the held item from any target it hits with a move.,기술을 맞은 상대의 도구를 빼앗아 버린다.
171,Bulletproof,방탄,PASSIVE,MOVE_IMMUNITY,BALL_BOMB_MOVES,,,,SELF,Protects the Pokemon from ball and bomb moves.,상대의 구슬이나 폭탄 등의 기술을 막을 수 있다.
172,Competitive,승기,ON_STAT_LOWERED,STAT_CHANGE,SPECIAL_ATTACK,2,,,SELF,Boosts the Pokemon's Sp. Atk stat sharply when its stats are lowered by an opposing Pokemon.,상대에 의해 능력이 떨어지면 특수공격이 크게 올라간다.
173,Strong Jaw,옹골찬턱,PASSIVE,DAMAGE_MODIFIER,BITING_MOVES,1.5,,,SELF,The Pokemon's strong jaw boosts the power of its biting moves.,턱이 튼튼하여 무는 기술의 위력이 올라간다.
174,Refrigerate,프리즈스킨,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.,노말타입의 기술이 얼음타입이 된다. 위력이 조금 올라간다.
175,Sweet Veil,스위트베일,PASSIVE,STATUS_IMMUNITY,SLEEP,,,,ALLY,Prevents the Pokemon and its allies from falling asleep.,자신과 같은 편의 포켓몬이 잠들지 않게 된다.
176,Stance Change,배틀스위치,ON_MOVE_USE,SPECIAL_LOGIC,,,,,SELF,The Pokemon changes its form to Blade Forme when it uses an attack move and changes to Shield Forme when it uses King's Shield.,공격 기술을 쓰면 블레이드폼으로 기술 킹실드를 쓰면 실드폼으로 변한다.
177,Gale Wings,질풍날개,ON_MOVE_USE,SPECIAL_LOGIC,,,,,SELF,Gives priority to the Pokemon's Flying-type moves while its HP is full.,HP가 꽉 찼을 때 비행타입의 기술을 먼저 쓸 수 있다.
178,Mega Launcher,메가런처,PASSIVE,DAMAGE_MODIFIER,PULSE_MOVES,1.5,,,SELF,Powers up pulse moves.,파동 기술의 위력이 올라간다.
179,Grass Pelt,풀모피,ON_TERRAIN,STAT_MODIFIER,DEFENSE,1.5,,,SELF,Boosts the Pokemon's Defense stat on Grassy Terrain.,그래스필드일 때 방어가 올라간다.
180,Symbiosis,공생,ON_ALLY_ITEM_USE,SPECIAL_LOGIC,,,,,SELF,The Pokemon passes its held item to an ally that has used up an item.,같은 편이 도구를 쓰면 자신이 지니고 있는 도구를 같은 편에게 건넨다.
181,Tough Claws,단단한발톱,PASSIVE,DAMAGE_MODIFIER,CONTACT_MOVES,1.3,,,SELF,Powers up moves that make direct contact.,상대에게 접촉하는 기술의 위력이 올라간다.
182,Pixilate,페어리스킨,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.,노말타입의 기술이 페어리타입이 된다. 위력이 조금 올라간다.
183,Gooey,미끈미끈,ON_CONTACT,STAT_CHANGE,SPEED,-1,,,ATTACKER,Contact with the Pokemon lowers the attacker's Speed stat.,공격으로 자신에게 접촉한 상대의 스피드를 떨어뜨린다.
184,Aerilate,스카이스킨,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,노말타입의 기술이 비행타입이 된다. 위력이 조금 올라간다.
185,Parental Bond,부자유친,PASSIVE,SPECIAL_LOGIC,,,,,SELF,The parent and child attack one after the other.,부모와 자식 2마리로 2번 공격할 수 있다.
186,Dark Aura,다크오라,PASSIVE,DAMAGE_MODIFIER,DARK,1.33,,,FIELD,Powers up the Dark-type moves of all Pokemon on the field.,전원의 악타입 기술이 강해진다.
187,Fairy Aura,페어리오라,PASSIVE,DAMAGE_MODIFIER,FAIRY,1.33,,,FIELD,Powers up the Fairy-type moves of all Pokemon on the field.,전원의 페어리타입 기술이 강해진다.
188,Aura Break,오라브레이크,PASSIVE,SPECIAL_LOGIC,,,,,FIELD,"The effects of ""Aura"" Abilities are reversed to lower the power of affected moves.",오라의 효과를 역전시켜 위력을 떨어뜨린다.
189,Primordial Sea,시작의바다,ON_SWITCH_IN,WEATHER_CHANGE,HEAVY_RAIN,,,,FIELD,The Pokemon changes the weather to nullify Fire-type attacks.,불꽃타입의 공격을 받지 않는 날씨로 만든다.
190,Desolate Land,끝의대지,ON_SWITCH_IN,WEATHER_CHANGE,EXTREME_HARSH_SUNLIGHT,,,,FIELD,The Pokemon changes the weather to nullify Water-type attacks.,물타입의 공격을 받지 않는 날씨로 만든다.
191,Delta Stream,델타스트림,ON_SWITCH_IN,WEATHER_CHANGE,STRONG_WINDS,,,,FIELD,The Pokemon changes the weather so that no moves are supereffective against the Flying type.,비행타입의 약점이 없어지는 날씨로 만든다.
192,Stamina,지구력,ON_HIT_BY_MOVE,STAT_CHANGE,DEFENSE,1,,,SELF,Boosts the Defense stat when the Pokemon is hit by an attack.,공격을 받으면 방어가 올라간다.
193,Wimp Out,도망태세,ON_LOW_HP,SPECIAL_LOGIC,,,,,SELF,The Pokemon cowardly switches out when its HP drops to half or less.,HP가 절반이 되면 황급히 도망쳐서 지닌 포켓몬으로 돌아간다.
194,Emergency Exit,위기회피,ON_LOW_HP,SPECIAL_LOGIC,,,,,SELF,"The Pokemon, sensing danger, switches out when its HP drops to half or less.",HP가 절반이 되면 위험을 회피하기 위해 지닌 포켓몬으로 돌아간다.
195,Water Compaction,꾸덕꾸덕굳기,ON_HIT_BY_TYPE,STAT_CHANGE,DEFENSE,2,,,SELF,Boosts the Defense stat sharply when the Pokemon is hit by a Water-type move.,물타입의 기술로 공격받으면 방어가 크게 올라간다.
196,Merciless,무도한행동,PASSIVE,SPECIAL_LOGIC,,,,,SELF,The Pokemon's attacks become critical hits if the target is poisoned.,독 상태의 상대를 공격하면 반드시 급소에 맞는다.
197,Shields Down,리밋실드,PASSIVE,SPECIAL_LOGIC,,,,,SELF,"When its HP drops to half or less, the Pokemon's shell breaks and it becomes aggressive.",HP가 절반이 되면 껍질이 깨져 공격적으로 된다.
198,Stakeout,잠복,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Doubles the damage dealt to a target that has just switched into battle.,교체로 나온 상대에게 2배 데미지로 공격할 수 있다.
199,Water Bubble,수포,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Lowers the power of Fire-type moves that hit the Pokemon and prevents it from being burned.,자신을 향하는 불꽃타입 기술의 위력을 떨어뜨린다. 화상을 입지 않는다.
200,Steelworker,강철술사,PASSIVE,DAMAGE_MODIFIER,STEEL,1.5,,,SELF,Powers up Steel-type moves.,강철타입 기술의 위력이 올라간다.
201,Berserk,발끈,ON_LOW_HP,STAT_CHANGE,SPECIAL_ATTACK,1,,,SELF,Boosts the Pokemon's Sp. Atk stat when it takes a hit that causes its HP to drop to half or less.,상대의 공격으로 HP가 절반이 되면 특수공격이 올라간다.
202,Slush Rush,눈치우기,ON_WEATHER,STAT_MODIFIER,SPEED,2,,,SELF,Boosts the Pokemon's Speed stat in snow.,날씨가 눈일 때 스피드가 올라간다
203,Long Reach,원격,PASSIVE,MOVE_MODIFIER,NO_CONTACT,,,,SELF,The Pokemon uses its moves without making contact with the target.,모든 기술을 상대에게 접촉하지 않고 사용할 수 있다.
204,Liquid Voice,촉촉보이스,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Sound-based moves become Water-type moves.,모든 소리 기술이 물타입이 된다.
205,Triage,힐링시프트,PASSIVE,PRIORITY_MODIFIER,HEALING_MOVES,3,,,SELF,Gives priority to the Pokemon's healing moves.,회복 기술을 먼저 사용할 수 있다.
206,Galvanize,일렉트릭스킨,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.,노말타입 기술이 전기타입이 된다. 위력이 조금 올라간다.
207,Surge Surfer,서핑테일,ON_TERRAIN,STAT_MODIFIER,SPEED,2,,,SELF,Doubles the Pokemon's Speed stat on Electric Terrain.,일렉트릭필드일 때 스피드가 2배가 된다.
208,Schooling,어군,PASSIVE,SPECIAL_LOGIC,,,,,SELF,"When it has a lot of HP, the Pokemon forms a powerful school. It stops schooling when its HP is low.",HP가 많을 때 무리 지어 강해진다. HP가 얼마 남지 않으면 무리는 뿔뿔이 흩어진다.
209,Disguise,탈,PASSIVE,SPECIAL_LOGIC,,,,,SELF,"Once per battle, the shroud that covers the Pokemon can protect it from an attack at the cost of 12.5% of its HP.",몸을 덮는 탈로 1번 공격을 막을 수 있다.
210,Battle Bond,유대변화,ON_KO,SPECIAL_LOGIC,,,,,SELF,"When the Pokemon knocks out a target, its bond with its Trainer is strengthened, and its Attack, Sp. Atk, and Speed stats are boosted.","상대를 쓰러뜨리면 트레이너와의 유대감이 깊어져서 자신의 공격, 특수공격, 스피드가 올라간다."
211,Power Construct,파워퍼스트,ON_LOW_HP,SPECIAL_LOGIC,,,,,SELF,"Cells gather to aid the Pokemon when its HP drops to half or less, causing it to change into its Complete Forme.",HP가 절반이 되면 셀들이 응원하러 달려와 퍼펙트폼으로 모습이 변한다.
212,Corrosion,부식,PASSIVE,SPECIAL_LOGIC,,,,,SELF,The Pokemon can poison the target even if it's a Steel- or Poison-type.,강철타입이나 독타입 포켓몬도 독 상태로 만들 수 있다.
213,Comatose,절대안깸,PASSIVE,SPECIAL_LOGIC,,,,,SELF,The Pokemon is always drowsing and will never wake up. It can attack while in its sleeping state.,항상 비몽사몽 상태로 절대 깨지 않는다. 잠든 상태로 공격할 수 있다.
214,Queenly Majesty,여왕의위엄,PASSIVE,SPECIAL_LOGIC,,,,,ALLY,The Pokemon's majesty pressures opponents and makes them unable to use priority moves against the Pokemon or its allies.,상대에게 위압감을 줘서 이쪽을 향한 선제 기술을 사용할 수 없게 한다.
215,Innards Out,내용물분출,ON_FAINT,SPECIAL_LOGIC,,,,,SELF,"When the Pokemon is knocked out, it damages its attacker by the amount equal to the HP it had left before it was hit.",상대에게 쓰러졌을 때 남아 있던 HP의 양만큼 상대에게 데미지를 준다.
216,Dancer,무희,ON_OTHER_MOVE_USE,SPECIAL_LOGIC,,,,,SELF,"Whenever a dance move is used in battle, the Pokemon will copy the user to immediately perform that dance move itself.",누군가 춤 기술을 쓰면 자신도 이어서 춤 기술을 쓸 수 있다.
217,Battery,배터리,PASSIVE,DAMAGE_MODIFIER,ALLY_SPECIAL_DAMAGE,1.3,,,ALLY,Powers up ally Pokemon's special moves.,같은 편 특수 기술의 위력을 올린다.
