id,name_en,name_kr,trigger,category,param_type,param_value,secondary_param_type,secondary_param_value,target,description_en,description_kr
218,Fluffy,솜털,PASSIVE,SPECIAL_LOGIC,,,,,SELF,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.",공격을 받으면 솜털을 흩뿌려서 자신을 제외한 모든 포켓몬의 스피드를 떨어뜨린다.
219,Dazzling,비비드바디,PASSIVE,SPECIAL_LOGIC,,,,,ALLY,"The Pokemon dazzles its opponents, making them unable to use priority moves against the Pokemon or its allies.",상대를 놀라게 해서 이쪽을 향한 선제 기술을 사용할 수 없게 한다.
220,Soul-Heart,소울하트,ON_ANY_FAINT,STAT_CHANGE,SPECIAL_ATTACK,1,,,SELF,Boosts the Pokemon's Sp. Atk stat every time another Pokemon faints.,포켓몬이 기절할 때마다 특수공격이 올라간다.
221,Tangling Hair,컬리헤어,ON_CONTACT,STAT_CHANGE,SPEED,-1,,,ATTACKER,Contact with the Pokemon lowers the attacker's Speed stat.,공격으로 자신에게 접촉한 상대의 스피드를 떨어뜨린다.
222,Receiver,리시버,ON_ALLY_FAINT,SPECIAL_LOGIC,,,,,SELF,The Pokemon copies the Ability of a defeated ally.,쓰러진 같은 편의 특성을 이어받아 같은 특성이 된다.
223,Power of Alchemy,화학의힘,ON_ALLY_FAINT,SPECIAL_LOGIC,,,,,SELF,The Pokemon copies the Ability of a defeated ally.,쓰러진 같은 편의 특성을 이어받아 같은 특성으로 바뀐다.
224,Beast Boost,비스트부스트,ON_KO,SPECIAL_LOGIC,,,,,SELF,Boosts the Pokemon's most proficient stat every time it knocks out a target.,상대를 기절시켰을 때 자신의 가장 높은 능력이 올라간다.
225,RKS System,AR시스템,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Changes the Pokemon's type to match the memory disc it holds.,지니고 있는 메모리로 자신의 타입이 변한다.
226,Electric Surge,일렉트릭메이커,ON_SWITCH_IN,TERRAIN_CHANGE,ELECTRIC_TERRAIN,5,,,FIELD,Turns the ground into Electric Terrain when the Pokemon enters a battle.,등장했을 때 일렉트릭필드를 사용한다.
227,Psychic Surge,사이코메이커,ON_SWITCH_IN,TERRAIN_CHANGE,PSYCHIC_TERRAIN,5,,,FIELD,Turns the ground into Psychic Terrain when the Pokemon enters a battle.,등장했을 때 사이코필드를 사용한다.
228,Misty Surge,미스트메이커,ON_SWITCH_IN,TERRAIN_CHANGE,MISTY_TERRAIN,5,,,FIELD,Turns the ground into Misty Terrain when the Pokemon enters a battle.,등장했을 때 미스트필드를 사용한다.
229,Grassy Surge,그래스메이커,ON_SWITCH_IN,TERRAIN_CHANGE,GRASSY_TERRAIN,5,,,FIELD,Turns the ground into Grassy Terrain when the Pokemon enters a battle.,등장했을 때 그래스필드를 사용한다.
230,Full Metal Body,메탈프로텍트,PASSIVE,STAT_MODIFIER_IMMUNITY,ANY_LOWER,,,,SELF,Prevents other Pokemon's moves or Abilities from lowering the Pokemon's stats.,상대 기술이나 특성으로 능력이 떨어지지 않는다.
231,Shadow Shield,스펙터가드,PASSIVE,DAMAGE_MODIFIER,DAMAGE_TAKEN_FULL_HP,0.5,,,SELF,Reduces the amount of damage the Pokemon takes while its HP is full.,HP가 꽉 찼을 때 받는 데미지가 줄어든다.
232,Prism Armor,프리즘아머,PASSIVE,DAMAGE_MODIFIER,SUPER_EFFECTIVE_TAKEN,0.75,,,SELF,Reduces the power of supereffective attacks that hit the Pokemon.,자신이 받는 효과가 굉장한 공격의 위력을 약하게 만든다.
233,Neuroforce,브레인포스,PASSIVE,DAMAGE_MODIFIER,SUPER_EFFECTIVE_DEALT,1.25,,,SELF,Powers up the Pokemon's supereffective attacks even further.,효과가 굉장한 공격의 위력이 더욱 올라간다.
234,Intrepid Sword,불요의검,ON_SWITCH_IN,STAT_CHANGE,ATTACK,1,,,SELF,Boosts the Pokemon's Attack stat when the Pokemon enters a battle for the first time.,처음 등장했을 때 공격이 올라간다.
235,Dauntless Shield,불굴의방패,ON_SWITCH_IN,STAT_CHANGE,DEFENSE,1,,,SELF,Boosts the Pokemon's Defense stat when the Pokemon enters a battle for the first time.,처음 등장했을 때 방어가 올라간다.
236,Libero,리베로,ON_MOVE_USE,SPECIAL_LOGIC,,,,,SELF,Changes the Pokemon's type to the type of the move it's about to use. This works only once each time the Pokemon enters battle.,배틀에 나올 때마다 단 한 번 자신이 사용한 기술과 같은 타입으로 변화한다.
237,Ball Fetch,볼줍기,SPECIAL_LOGIC,SPECIAL_LOGIC,,,,,SELF,"If the Pokemon is not holding an item, it will fetch the Pok? Ball from the first failed throw of the battle.",도구를 지니고 있지 않은 경우 첫 번째로 던져서 실패한 몬스터볼을 주워 온다.
238,Cotton Down,솜털,ON_HIT_BY_MOVE,STAT_CHANGE,SPEED,-1,,,ALL_OTHERS,"When the Pokemon is hit by an attack, it scatters cotton fluff around and lowers the Speed stats of all Pokemon except itself.",공격을 받으면 솜털을 흩뿌려서 자신을 제외한 모든 포켓몬의 스피드를 떨어뜨린다.
239,Propeller Tail,스크루지느러미,PASSIVE,MOVE_MODIFIER,IGNORE_REDIRECT,,,,SELF,Ignores the effects of opposing Pokemon's Abilities and moves that draw in moves.,상대의 기술을 끌어모으는 특성이나 기술의 영향을 받지 않는다.
240,Mirror Armor,미러아머,ON_STAT_LOWERED,SPECIAL_LOGIC,,,,,ATTACKER,Bounces back only the stat-lowering effects that the Pokemon receives.,자신이 받는 능력 다운 효과에 한해 되받아친다.
241,Gulp Missile,그대로꿀꺽미사일,ON_MOVE_USE,SPECIAL_LOGIC,,,,,SELF,"When the Pokemon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.",파도타기나 다이빙을 쓰면 먹이를 물어 온다. 데미지를 받으면 먹이를 토해 내서 공격한다.
242,Stalwart,굳건한신념,PASSIVE,MOVE_MODIFIER,IGNORE_REDIRECT,,,,SELF,Ignores the effects of opposing Pokemon's Abilities and moves that draw in moves.,상대의 기술을 끌어모으는 특성이나 기술의 영향을 받지 않는다.
243,Steam Engine,증기기관,ON_HIT_BY_TYPE,STAT_CHANGE,SPEED,6,,,SELF,Boosts the Speed stat drastically when the Pokemon is hit by a Fire- or Water-type move.,물타입이나 불꽃타입 기술로 공격받으면 스피드가 매우 크게 올라간다.
244,Punk Rock,펑크록,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Boosts the power of sound-based moves. The Pokemon also takes half the damage from these kinds of moves.,소리 기술의 위력이 올라간다. 상대로부터 받는 소리 기술의 데미지는 절반이 된다.
245,Sand Spit,모래뿜기,ON_HIT_BY_MOVE,WEATHER_CHANGE,SANDSTORM,5,,,FIELD,The Pokemon creates a sandstorm when it's hit by an attack.,공격을 받으면 모래바람을 일으킨다.
246,Ice Scales,얼음인분,PASSIVE,DAMAGE_MODIFIER,SPECIAL_TAKEN,0.5,,,SELF,"The Pokemon is protected by ice scales, which halve the damage taken from special moves.",얼음인분의 보호를 받아 특수공격으로 받는 데미지가 절반이 된다.
247,Ripen,숙성,PASSIVE,ITEM_ACTION,DOUBLE_BERRY_EFFECT,,,,SELF,Ripens Berries and doubles their effect.,나무열매를 숙성시켜서 효과를 2배로 만든다.
248,Ice Face,아이스페이스,PASSIVE,SPECIAL_LOGIC,,,,,SELF,"The Pokemon's ice head can take a physical attack as a substitute, but the attack also changes the Pokemon's appearance. The ice will be restored when it snows.",물리공격을 머리의 얼음이 대신 맞아 주지만 모습도 바뀐다. 얼음은 눈이 내리면 원래대로 돌아온다.
249,Power Spot,파워스폿,PASSIVE,DAMAGE_MODIFIER,ALLY_DAMAGE,1.3,,,ALLY,Just being next to the Pokemon powers up moves.,옆에 있기만 해도 기술의 위력이 올라간다.
250,Mimicry,의태,ON_TERRAIN_CHANGE,TYPE_CHANGE,TERRAIN_TYPE,,,,SELF,Changes the Pokemon's type depending on the terrain.,필드의 상태에 따라 포켓몬의 타입이 바뀐다.
251,Screen Cleaner,배리어프리,ON_SWITCH_IN,FIELD_EFFECT_NEGATE,SCREENS,,,,FIELD,"When the Pokemon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokemon.","등장했을 때 상대와 같은 편의 빛의장막, 리플렉터, 오로라베일의 효과가 사라진다."
252,Steely Spirit,강철정신,PASSIVE,DAMAGE_MODIFIER,ALLY_STEEL_DAMAGE,1.5,,,ALLY,Powers up the Steel-type moves of the Pokemon and its allies.,같은 편의 강철타입 공격의 위력이 올라간다.
253,Perish Body,멸망의바디,ON_CONTACT,SPECIAL_LOGIC,,,,,ATTACKER,"When hit by a move that makes direct contact, the Pokemon and the attacker will faint after three turns unless they switch out of battle.",접촉하는 기술로 공격받으면 3턴 후에 양쪽 모두 기절한다. 교체되면 효과가 없어진다.
254,Wandering Spirit,떠도는영혼,ON_CONTACT,SPECIAL_LOGIC,,,,,ATTACKER,The Pokemon exchanges Abilities with a Pokemon that hits it with a move that makes direct contact.,접촉하는 기술로 공격해 온 포켓몬과 특성을 바꾼다.
255,Gorilla Tactics,무아지경,PASSIVE,SPECIAL_LOGIC,,,,,SELF,"Boosts the Pokemon's Attack stat, but only allows the use of the first selected move.",공격이 올라가지만 처음에 선택한 기술 외에는 쓸 수 없게 된다.
256,Neutralizing Gas,화학변화가스,ON_SWITCH_IN,FIELD_EFFECT_NEGATE,ABILITIES,,,,FIELD,"While the Pokemon is in the battle, the effects of all other Pokemon's Abilities will be nullified or will not be triggered.",화학변화가스를 가진 포켓몬이 배틀에 나와 있으면 모든 포켓몬이 가진 특성의 효과가 사라지거나 발동하지 않게 된다.
257,Pastel Veil,파스텔베일,PASSIVE,STATUS_IMMUNITY,POISON,,,,ALLY,Prevents the Pokemon and its allies from being poisoned.,자신과 같은 편은 독 상태가 되지 않는다.
258,Hunger Switch,꼬르륵스위치,ON_END_TURN,SPECIAL_LOGIC,,,,,SELF,"The Pokemon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn.","턴이 끝날 때마다 배부른 모양, 배고픈 모양, 배부른 모양...으로 번갈아서 모습을 바꾼다."
259,Quick Draw,퀵드로,PASSIVE,SPECIAL_LOGIC,,,,,SELF,Enables the Pokemon to move first occasionally.,상대보다 먼저 행동할 수도 있다.
260,Unseen Fist,보이지않는주먹,PASSIVE,MOVE_MODIFIER,IGNORE_PROTECT,,,,SELF,"If the Pokemon uses moves that make direct contact, it can attack the target even if the target protects itself.",상대에게 접촉하는 기술을 사용하면 방어의 효과를 무시하고 공격할 수 있다.
261,Curious Medicine,기묘한약,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,ALLY,"When the Pokemon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.",등장했을 때 조개껍질에서 약을 흩뿌려서 같은 편의 능력 변화를 원래대로 되돌린다.
262,Transistor,트랜지스터,PASSIVE,DAMAGE_MODIFIER,ELECTRIC,1.3,,,SELF,Powers up Electric-type moves.,전기타입 기술의 위력이 올라간다.
263,Dragon's Maw,용의턱,PASSIVE,DAMAGE_MODIFIER,DRAGON,1.5,,,SELF,Powers up Dragon-type moves.,드래곤타입 기술의 위력이 올라간다.
264,Chilling Neigh,백의울음,ON_KO,STAT_CHANGE,ATTACK,1,,,SELF,"When the Pokemon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.",상대를 쓰러뜨리면 차가운 울음소리를 내면서 공격이 올라간다.
265,Grim Neigh,흑의울음,ON_KO,STAT_CHANGE,SPECIAL_ATTACK,1,,,SELF,"When the Pokemon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.",상대를 쓰러뜨리면 무서운 울음소리를 내면서 특수공격이 올라간다.
266,As One,혼연일체,PASSIVE,SPECIAL_LOGIC,,,,,SELF,This Ability combines the effects of both Calyrex's Unnerve Ability and Glastrier's Chilling Neigh Ability.,버드렉스의 긴장감과 블리자포스의 백의울음 두 가지 특성을 겸비한다.
267,As One,혼연일체,PASSIVE,SPECIAL_LOGIC,,,,,SELF,This Ability combines the effects of both Calyrex's Unnerve Ability and Spectrier's Grim Neigh Ability.,버드렉스의 긴장감과 레이스포스의 흑의울음 두 가지 특성을 겸비한다.
268,Lingering Aroma,가시지않는향기,ON_CONTACT,SPECIAL_LOGIC,,,,,ATTACKER,Contact with the Pokemon changes the attacker's Ability to Lingering Aroma.,상대가 접촉하면 가시지 않는 향기가 상대에게 배어 버린다.
269,Seed Sower,넘치는씨,ON_HIT_BY_MOVE,TERRAIN_CHANGE,GRASSY_TERRAIN,5,,,FIELD,Turns the ground into Grassy Terrain when the Pokemon is hit by an attack.,공격을 받으면 필드를 그래스필드로 만든다.
270,Thermal Exchange,열교환,ON_HIT_BY_TYPE,SPECIAL_LOGIC,FIRE,,,,SELF,Boosts the Attack stat when the Pokemon is hit by a Fire-type move. The Pokemon also cannot be burned.,불꽃타입 기술로 공격받으면 공격이 올라간다. 화상 상태가 되지 않는다.
271,Anger Shell,분노의껍질,ON_LOW_HP,STAT_CHANGE,STAT_LIST,"ATTACK,1,SPECIAL_ATTACK,1,SPEED,1,DEFENSE,-1,SPECIAL_DEFENSE,-1",,,SELF,"When an attack causes its HP to drop to half or less, the Pokemon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.","상대의 공격에 의해 HP가 절반이 되면 화가 나서 방어와 특수방어가 떨어지지만 공격, 특수공격, 스피드가 올라간다."
272,Purifying Salt,정화의소금,PASSIVE,SPECIAL_LOGIC,,,,,SELF,The Pokemon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.,깨끗한 소금에 의해 상태 이상이 되지 않는다. 고스트타입 기술의 데미지를 반감시킨다.
273,Well-Baked Body,노릇노릇바디,ON_HIT_BY_TYPE,SPECIAL_LOGIC,FIRE,,,,SELF,"The Pokemon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.",불꽃타입 기술로 공격받으면 데미지를 받지 않고 방어가 크게 올라간다.
274,Wind Rider,풍력발전,ON_HIT_BY_TYPE,SPECIAL_LOGIC,WIND,,,,SELF,Boosts the Pokemon's Attack stat if Tailwind takes effect or if the Pokemon is hit by a wind move. The Pokemon also takes no damage from wind moves.,바람 기술을 받으면 충전 상태가 된다.
275,Guard Dog,파수견,ON_INTIMIDATED,SPECIAL_LOGIC,,,,,SELF,Boosts the Pokemon's Attack stat if intimidated. Moves and items that would force the Pokemon to switch out also fail to work.,위협을 받으면 공격이 올라간다. 포켓몬을 교체시키는 기술이나 도구의 효과를 받지 않는다.
276,Rocky Payload,바위나르기,PASSIVE,DAMAGE_MODIFIER,ROCK,1.5,,,SELF,Powers up Rock-type moves.,바위타입 기술의 위력이 올라간다.
277,Wind Power,풍력발전,ON_HIT_BY_TYPE,SPECIAL_LOGIC,WIND,,,,SELF,"The Pokemon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokemon uses.",바람 기술을 받으면 충전 상태가 된다.
278,Zero to Hero,마이티체인지,ON_SWITCH_OUT,SPECIAL_LOGIC,,,,,SELF,The Pokemon transforms into its Hero Form when it switches out.,지닌 포켓몬으로 돌아오면 마이티폼으로 변한다.
279,Commander,사령탑,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"When the Pokemon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokemon then issues commands from there.",등장했을 때 같은 편에 어써러셔가 있으면 입속에 들어가 안에서 지시를 내린다.
280,Electromorphosis,전기로바꾸기,ON_HIT_BY_MOVE,SPECIAL_LOGIC,,,,,SELF,"The Pokemon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokemon uses.",데미지를 받으면 충전 상태가 된다.
281,Protosynthesis,고대활성,SPECIAL_LOGIC,SPECIAL_LOGIC,,,,,SELF,Boosts the Pokemon's most proficient stat in harsh sunlight or if the Pokemon is holding Booster Energy.,부스트에너지를 지니고 있거나 날씨가 맑을 때 가장 높은 능력이 올라간다.
282,Quark Drive,쿼크차지,SPECIAL_LOGIC,SPECIAL_LOGIC,,,,,SELF,Boosts the Pokemon's most proficient stat on Electric Terrain or if the Pokemon is holding Booster Energy.,부스트에너지를 지니고 있거나 일렉트릭필드일 때 가장 높은 능력이 올라간다.
283,Good as Gold,황금몸,PASSIVE,MOVE_IMMUNITY,STATUS_MOVES,,,,SELF,"A body of pure, solid gold gives the Pokemon full immunity to other Pokemon's status moves.",산화하지 않는 튼튼한 황금몸 덕분에 상대의 변화 기술의 영향을 받지 않는다.
284,Vessel of Ruin,재앙의그릇,PASSIVE,STAT_MODIFIER,SPECIAL_ATTACK,0.75,,,ALL_OTHERS,The power of the Pokemon's ruinous vessel lowers the Sp. Atk stats of all Pokemon except itself.,이 특성을 가진 포켓몬을 제외한 모든 포켓몬의 특수공격을 약하게 만든다.
285,Sword of Ruin,재앙의검,PASSIVE,STAT_MODIFIER,DEFENSE,0.75,,,ALL_OTHERS,The power of the Pokemon's ruinous sword lowers the Defense stats of all Pokemon except itself.,이 특성을 가진 포켓몬을 제외한 모든 포켓몬의 방어를 약하게 만든다.
286,Tablets of Ruin,재앙의목간,PASSIVE,STAT_MODIFIER,ATTACK,0.75,,,ALL_OTHERS,The power of the Pokemon's ruinous wooden tablets lowers the Attack stats of all Pokemon except itself.,이 특성을 가진 포켓몬을 제외한 모든 포켓몬의 공격을 약하게 만든다.
287,Beads of Ruin,재앙의구슬,PASSIVE,STAT_MODIFIER,SPECIAL_DEFENSE,0.75,,,ALL_OTHERS,The power of the Pokemon's ruinous beads lowers the Sp. Def stats of all Pokemon except itself.,이 특성을 가진 포켓몬을 제외한 모든 포켓몬의 특수방어를 약하게 만든다.
288,Orichalcum Pulse,진홍빛고동,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,Turns the sunlight harsh when the Pokemon enters a battle. The ancient pulse thrumming through the Pokemon also boosts its Attack stat in harsh sunlight.,등장했을 때 날씨를 맑음으로 만든다. 햇살이 강하면 고대의 고동에 의해 공격이 강화된다.
289,Hadron Engine,하드론엔진,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,Turns the ground into Electric Terrain when the Pokemon enters a battle. The futuristic engine within the Pokemon also boosts its Sp. Atk stat on Electric Terrain.,등장했을 때 일렉트릭필드를 전개한다. 일렉트릭필드일 때 미래 기관에 의해 특수공격이 강화된다.
290,Opportunist,편승,ON_FOE_STAT_UP,SPECIAL_LOGIC,,,,,SELF,"If an opponent's stat is boosted, the Pokemon seizes the opportunity to boost the same stat for itself.",상대의 능력이 올라가면 자신도 편승해서 똑같이 능력을 올린다.
291,Cud Chew,되새김질,ON_BERRY_EAT,SPECIAL_LOGIC,,,,,SELF,"When the Pokemon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.",한 번에 한하여 나무열매를 먹으면 다음 턴이 끝날 때 위에서 꺼내서 또 먹는다.
292,Sharpness,예리함,PASSIVE,DAMAGE_MODIFIER,SLICING_MOVES,1.5,,,SELF,Powers up slicing moves.,상대를 베는 기술의 위력이 올라간다.
293,Supreme Overlord,총대장,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"When the Pokemon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated.",등장했을 때 지금까지 쓰러진 같은 편의 수가 많을수록 조금씩 공격과 특수공격이 올라간다.
294,Costar,편승,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"When the Pokemon enters a battle, it copies an ally's stat changes.",상대의 능력이 올라가면 자신도 편승해서 똑같이 능력을 올린다.
295,Toxic Debris,독치장,ON_HIT_PHYSICAL,SPECIAL_LOGIC,,,,,SELF,Scatters poison spikes at the feet of the opposing team when the Pokemon takes damage from physical moves.,물리 기술로 데미지를 받으면 상대의 발밑에 독압정을 뿌린다.
296,Armor Tail,테일아머,PASSIVE,SPECIAL_LOGIC,,,,,ALLY,The mysterious tail covering the Pokemon's head makes opponents unable to use priority moves against the Pokemon or its allies.,머리를 감싸고 있는 수수께끼의 꼬리가 이쪽을 향한 선제 기술을 사용할 수 없게 한다.
297,Earth Eater,흙먹기,ON_HIT_BY_TYPE,HEAL,GROUND,0.25,,,SELF,"If hit by a Ground-type move, the Pokemon has its HP restored instead of taking damage.",땅타입의 기술로 공격받으면 데미지를 받지 않고 회복한다.
298,Mycelium Might,균사의힘,PASSIVE,SPECIAL_LOGIC,,,,,SELF,"The Pokemon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.",변화 기술을 사용할 때 반드시 행동이 느려지지만 상대 특성에 방해받지 않는다.
299,Hospitality,대접,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,ALLY,"When the Pokemon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP.",등장했을 때 같은 편을 대접해서 HP를 조금 회복시킨다.
300,Mind's Eye,심안,PASSIVE,SPECIAL_LOGIC,,,,,SELF,"The Pokemon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal- and Fighting-type moves.",노말타입과 격투타입 기술을 고스트타입에게 맞힐 수 있다. 상대의 회피율 변화를 무시하고 명중률도 떨어지지 않는다.
301,Embody Aspect,오거폰-우물,PASSIVE,STAT_CHANGE,SPECIAL_DEFENSE,1.2,,,SELF,"The Pokemon's heart fills with memories, causing the Teal Mask to shine and the Pokemon's Speed stat to be boosted.",마음속에 깃든 추억의 힘으로 가면을 빛나게 하여 자신의 능력을 올린다.
302,Embody Aspect,오거폰-화덕,PASSIVE,STAT_CHANGE,ATTACK,1.2,,,SELF,"The Pokemon's heart fills with memories, causing the Hearthflame Mask to shine and the Pokemon's Attack stat to be boosted.",마음속에 깃든 추억의 힘으로 가면을 빛나게 하여 자신의 능력을 올린다.
303,Embody Aspect,오거폰-주춧돌,PASSIVE,STAT_CHANGE,DEFENSE,1.2,,,SELF,"The Pokemon's heart fills with memories, causing the Wellspring Mask to shine and the Pokemon's Sp. Def stat to be boosted.",마음속에 깃든 추억의 힘으로 가면을 빛나게 하여 자신의 능력을 올린다.
304,Embody Aspect,오거폰-가면,PASSIVE,STAT_CHANGE,SPEED,1.2,,,SELF,"The Pokemon's heart fills with memories, causing the Cornerstone Mask to shine and the Pokemon's Defense stat to be boosted.",마음속에 깃든 추억의 힘으로 가면을 빛나게 하여 자신의 능력을 올린다.
305,Toxic Chain,독사슬,ON_MOVE_HIT,PRIMARY_STATUS,TOXIC,0.3,,,TARGET,The power of the Pokemon's toxic chain may badly poison any target the Pokemon hits with a move.,"공격을 맞히면, 상대를 맹독 상태로 만들 때가 있다."
306,Supersweet Syrup,달콤한꿀,ON_SWITCH_IN,STAT_CHANGE,EVASION,-1,,,ALL_FOES,"A sickly sweet scent spreads across the field the first time the Pokemon enters a battle, lowering the evasiveness of opposing Pokemon.",등장했을 때 상대의 회피율을 떨어뜨린다.
307,Tera Shift,테라체인지,ON_SWITCH_IN,SPECIAL_LOGIC,,,,,SELF,"When the Pokemon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.",등장했을 때 주위의 에너지를 흡수하여 테라스탈폼으로 변화한다.
308,Tera Shell,테라셸,PASSIVE,SPECIAL_LOGIC,,,,,SELF,The Pokemon's shell contains the powers of each type. All damage-dealing moves that hit the Pokemon when its HP is full will not be very effective.,모든 타입의 힘이 담긴 등껍질이 HP가 꽉 찼을 때 받는 데미지를 모두 효과가 별로이게 만든다.
309,Teraform Zero,제로포밍,ON_SWITCH_IN,FIELD_EFFECT_NEGATE,EFFECT_LIST,"WEATHER,TERRAIN",,,FIELD,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero.",테라파고스가 스텔라폼이 되었을 때 숨겨진 힘에 의해 날씨와 필드의 영향을 모두 무효로 만든다.
310,Poison Puppeteer,독조종,ON_STATUS,VOLATILE_STATUS,CONFUSION,,,,TARGET,Pokemon poisoned by Pecharunt's moves will also become confused.,복숭악동의 기술에 의해 독 상태가 된 상대는 혼란 상태도 되어 버린다.
